pass				
pass				
pass				
pass				
pass				
pass				
Date/Time	Load	Wind	Hydro	Thermal
01/01/12 00:00	5999	218	6161	3479
01/01/12 00:05	5964	213	6223	3417
01/01/12 00:10	5948	206	6216	3373
01/01/12 00:15	5932	200	6219	3372
01/01/12 00:20	5931	218	6215	3368
01/01/12 00:25	5933	241	6218	3368
01/01/12 00:30	5919	270	6209	3375
01/01/12 00:35	5931	290	6236	3346
01/01/12 00:40	5920	284	6216	3341
01/01/12 00:45	5906	273	6201	3356
01/01/12 00:50	5917	283	6224	3349
01/01/12 00:55	5872	323	6114	3304
01/01/12 01:00	5884	340	6081	3253
01/01/12 01:05	5904	339	6061	3251
01/01/12 01:10	5829	331	6029	3250
01/01/12 01:15	5831	332	6020	3266
01/01/12 01:20	5843	357	6020	3259
01/01/12 01:25	5796	339	6005	3261
01/01/12 01:30	5788	324	6019	3272
01/01/12 01:35	5783	314	6015	3293
01/01/12 01:40	5784	296	5983	3313
01/01/12 01:45	5782	323	5977	3306
01/01/12 01:50	5771	341	5976	3278
01/01/12 01:55	5744	371	5859	3304
01/01/12 02:00	5766	405	5795	3326
01/01/12 02:05	5744	432	5753	3318
01/01/12 02:10	5741	444	5764	3301
01/01/12 02:15	5745	430	5747	3306
01/01/12 02:20	5722	427	5769	3314
01/01/12 02:25	5712	408	5762	3332
01/01/12 02:30	5724	403	5791	3330
01/01/12 02:35	5704	418	5770	3339
01/01/12 02:40	5683	416	5764	3332
01/01/12 02:45	5690	404	5761	3331
01/01/12 02:50	5691	394	5764	3335
01/01/12 02:55	5668	402	5763	3346
01/01/12 03:00	5690	392	5704	3341
01/01/12 03:05	5693	378	5751	3349
01/01/12 03:10	5697	343	5684	3351
01/01/12 03:15	5692	359	5676	3349
01/01/12 03:20	5689	371	5716	3357
01/01/12 03:25	5686	402	5715	3356
01/01/12 03:30	5680	400	5709	3342
01/01/12 03:35	5704	361	5721	3358
01/01/12 03:40	5720	343	5691	3361
01/01/12 03:45	5729	333	5697	3363
01/01/12 03:50	5707	308	5698	3359
01/01/12 03:55	5712	299	5732	3354
01/01/12 04:00	5728	306	5726	3342
01/01/12 04:05	5745	295	5765	3349
01/01/12 04:10	5746	290	5807	3342
01/01/12 04:15	5749	285	5804	3342
01/01/12 04:20	5744	266	5813	3343
01/01/12 04:25	5778	260	5836	3339
01/01/12 04:30	5743	269	5840	3342
01/01/12 04:35	5784	303	5847	3339
01/01/12 04:40	5772	321	5812	3343
01/01/12 04:45	5807	316	5852	3345
01/01/12 04:50	5810	312	5794	3346
01/01/12 04:55	5831	320	5879	3343
01/01/12 05:00	5843	341	5916	3330
01/01/12 05:05	5898	337	6047	3352
01/01/12 05:10	5936	325	6076	3321
01/01/12 05:15	5946	309	6092	3343
01/01/12 05:20	5949	312	6095	3339
01/01/12 05:25	5961	306	6084	3340
01/01/12 05:30	6000	287	6091	3340
01/01/12 05:35	6003	267	6092	3340
01/01/12 05:40	6033	267	6079	3342
01/01/12 05:45	6046	269	6068	3345
01/01/12 05:50	6070	262	6095	3336
01/01/12 05:55	6111	258	6438	3254
01/01/12 06:00	6091	276	6663	3189
01/01/12 06:05	6179	288	6912	3165
01/01/12 06:10	6206	313	7082	3137
01/01/12 06:15	6218	301	7111	3128
01/01/12 06:20	6237	300	7086	3133
01/01/12 06:25	6231	287	7046	3134
01/01/12 06:30	6254	266	7090	3138
01/01/12 06:35	6304	235	7129	3163
01/01/12 06:40	6307	231	7123	3162
01/01/12 06:45	6323	245	7102	3169
01/01/12 06:50	6377	291	7084	3155
01/01/12 06:55	6353	324	7209	3141
01/01/12 07:00	6413	356	7244	3136
01/01/12 07:05	6440	386	7292	3115
01/01/12 07:10	6511	412	7243	3102
01/01/12 07:15	6495	432	7225	3085
01/01/12 07:20	6528	406	7236	3076
01/01/12 07:25	6548	385	7244	3086
01/01/12 07:30	6556	374	7247	3105
01/01/12 07:35	6629	376	7251	3112
01/01/12 07:40	6604	371	7261	3102
01/01/12 07:45	6620	344	7273	3131
01/01/12 07:50	6689	329	7263	3133
01/01/12 07:55	6704	330	7581	3123
01/01/12 08:00	6731	336	7628	3139
01/01/12 08:05	6748	344	7651	3197
01/01/12 08:10	6775	359	7698	3182
01/01/12 08:15	6779	357	7658	3193
01/01/12 08:20	6822	370	7644	3191
01/01/12 08:25	6809	374	7644	3190
01/01/12 08:30	6821	371	7628	3197
01/01/12 08:35	6859	389	7670	3195
01/01/12 08:40	6845	381	7645	3184
01/01/12 08:45	6854	362	7681	3202
01/01/12 08:50	6880	355	7690	3206
01/01/12 08:55	6901	355	7769	3236
01/01/12 09:00	6899	341	7753	3299
01/01/12 09:05	6893	335	7750	3334
01/01/12 09:10	6907	324	7799	3351
01/01/12 09:15	6910	320	7790	3358
01/01/12 09:20	6917	305	7834	3369
01/01/12 09:25	6864	295	7777	3360
01/01/12 09:30	6864	288	7826	3375
01/01/12 09:35	6859	290	7818	3373
01/01/12 09:40	6926	286	7861	3369
01/01/12 09:45	6924	294	7815	3365
01/01/12 09:50	6888	299	7822	3365
01/01/12 09:55	6882	297	7841	3374
01/01/12 10:00	6881	285	7793	3370
01/01/12 10:05	6873	294	7760	3376
01/01/12 10:10	6893	310	7722	3356
01/01/12 10:15	6870	322	7718	3350
01/01/12 10:20	6859	339	7686	3343
01/01/12 10:25	6844	361	7636	3336
01/01/12 10:30	6827	394	7618	3311
01/01/12 10:35	6851	411	7644	3304
01/01/12 10:40	6804	400	7655	3292
01/01/12 10:45	6768	404	7651	3298
01/01/12 10:50	6771	374	7671	3324
01/01/12 10:55	6746	341	7535	3345
01/01/12 11:00	6731	342	7511	3354
01/01/12 11:05	6733	352	7476	3356
01/01/12 11:10	6716	390	7491	3337
01/01/12 11:15	6710	406	7458	3317
01/01/12 11:20	6720	400	7465	3320
01/01/12 11:25	6689	398	7459	3340
01/01/12 11:30	6698	386	7434	3335
01/01/12 11:35	6679	381	7430	3361
01/01/12 11:40	6653	394	7506	3341
01/01/12 11:45	6656	388	7470	3321
01/01/12 11:50	6613	403	7446	3303
01/01/12 11:55	6623	385	7354	3278
01/01/12 12:00	6598	342	7355	3247
01/01/12 12:05	6599	325	7272	3206
01/01/12 12:10	6596	335	7181	3181
01/01/12 12:15	6570	325	7128	3183
01/01/12 12:20	6559	324	7140	3192
01/01/12 12:25	6557	325	7141	3190
01/01/12 12:30	6569	348	7112	3189
01/01/12 12:35	6543	362	7098	3194
01/01/12 12:40	6553	393	7091	3189
01/01/12 12:45	6612	440	7124	3150
01/01/12 12:50	6725	432	7175	3142
01/01/12 12:55	6688	440	7186	3161
01/01/12 13:00	6682	475	7113	3143
01/01/12 13:05	6711	497	7169	3136
01/01/12 13:10	6800	500	7155	3141
01/01/12 13:15	6786	481	7191	3148
01/01/12 13:20	6780	520	7190	3128
01/01/12 13:25	6755	569	7182	3107
01/01/12 13:30	6743	575	7171	3102
01/01/12 13:35	6728	533	7144	3139
01/01/12 13:40	6691	542	7111	3145
01/01/12 13:45	6675	605	7112	3136
01/01/12 13:50	6663	658	7119	3107
01/01/12 13:55	6642	681	6995	3067
01/01/12 14:00	6651	671	7068	3084
01/01/12 14:05	6624	642	7136	3083
01/01/12 14:10	6618	641	7202	3098
01/01/12 14:15	6602	632	7218	3120
01/01/12 14:20	6610	705	7232	3094
01/01/12 14:25	6636	805	7204	3061
01/01/12 14:30	6611	877	7226	3064
01/01/12 14:35	6612	862	7201	3063
01/01/12 14:40	6607	842	7214	3062
01/01/12 14:45	6572	803	7230	3052
01/01/12 14:50	6573	829	7205	3048
01/01/12 14:55	6549	830	7025	3064
01/01/12 15:00	6566	847	6965	3094
01/01/12 15:05	6582	849	7019	3079
01/01/12 15:10	6565	869	7047	3073
01/01/12 15:15	6565	887	6964	3083
01/01/12 15:20	6576	881	6962	3082
01/01/12 15:25	6583	911	6981	3080
01/01/12 15:30	6550	950	6963	3079
01/01/12 15:35	6561	956	6997	3082
01/01/12 15:40	6557	964	6993	3088
01/01/12 15:45	6624	968	7022	3079
01/01/12 15:50	6635	954	7013	3086
01/01/12 15:55	6656	941	7402	3104
01/01/12 16:00	6674	956	7789	3127
01/01/12 16:05	6722	965	8069	3224
01/01/12 16:10	6754	977	8431	3260
01/01/12 16:15	6814	978	8573	3267
01/01/12 16:20	6833	956	8561	3270
01/01/12 16:25	6895	935	8572	3274
01/01/12 16:30	6972	959	8575	3274
01/01/12 16:35	7026	968	8593	3278
01/01/12 16:40	7086	970	8563	3282
01/01/12 16:45	7133	953	8604	3287
01/01/12 16:50	7202	930	8672	3288
01/01/12 16:55	7279	935	9366	3287
01/01/12 17:00	7314	956	9674	3268
01/01/12 17:05	7309	951	10150	3258
01/01/12 17:10	7339	948	10543	3258
01/01/12 17:15	7404	924	10772	3255
01/01/12 17:20	7412	916	10758	3253
01/01/12 17:25	7427	912	10702	3258
01/01/12 17:30	7425	916	10699	3248
01/01/12 17:35	7429	919	10725	3248
01/01/12 17:40	7419	919	10697	3250
01/01/12 17:45	7432	902	10698	3247
01/01/12 17:50	7422	878	10718	3252
01/01/12 17:55	7402	873	10686	3243
01/01/12 18:00	7402	878	10741	3238
01/01/12 18:05	7442	821	10748	3249
01/01/12 18:10	7405	796	10788	3245
01/01/12 18:15	7442	773	10775	3251
01/01/12 18:20	7407	746	10729	3250
01/01/12 18:25	7422	736	10729	3255
01/01/12 18:30	7424	691	10781	3251
01/01/12 18:35	7392	648	10776	3268
01/01/12 18:40	7362	621	10803	3279
01/01/12 18:45	7389	583	10778	3293
01/01/12 18:50	7375	541	10800	3317
